timestamp,total_time_ms,visibility_time_ms,gap_time_ms,node_iteration_time_ms,node_count,fps,gaps_processed,angles_processed,nodes_checked,nodes_skipped,probabilities_assigned
2025-06-03T13:52:45.152849,5122.737526995479,0.0,5105.165073007811,5104.414583853213,11762,0.2666666805744171,15,315,3682665,22365,34540
2025-06-03T13:52:50.580531,5295.647348990315,0.0,5279.318682005396,5278.495849008323,11762,0.2666666805744171,15,315,3682665,22365,34540
2025-06-03T13:52:56.147821,5433.381070004543,0.0,5414.450381998904,5413.665076950565,11762,0.2666666805744171,15,315,3682665,22365,34540
2025-06-03T13:53:06.288815,5025.101950988756,0.0,5003.677009008243,5002.83182603016,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:11.606699,5184.7526199999265,0.0,5166.301992998342,5165.23333376972,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:17.059694,5307.957055993029,0.0,5292.573054000968,5291.500435909256,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:22.264377,5068.8913320045685,0.0,5052.505112005747,5051.605828877655,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:27.700200,5308.486210997216,0.0,5290.814753010636,5289.522058927105,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:32.971495,5141.246448009042,0.0,5127.018368002609,5125.9733130573295,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:37.999528,4903.324794999207,0.0,4885.618728003465,4885.032928970759,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:43.291714,5159.432871994795,0.0,5144.4854580040555,5143.40041782998,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:48.486917,5062.016666008276,0.0,5046.420617989497,5045.499835905503,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:53.704172,5083.1104120006785,0.0,5069.417585997144,5068.715636021807,11762,13.60544204711914,15,315,3682665,22365,34540
2025-06-03T13:53:58.870931,5034.397663999698,0.0,5019.232399004977,5018.227173859486,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:04.089418,5089.483663992723,0.0,5076.26368101046,5075.238221834297,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:09.142024,4926.287755006342,0.0,4909.0189630078385,4908.319855006994,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:14.122318,4853.211100999033,0.0,4839.409797001281,4838.8548701041145,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:19.407178,5162.503583007492,0.0,5148.36540100805,5147.572793110157,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:24.636735,5100.039175988059,0.0,5084.1417940100655,5083.381213829853,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:29.862530,5094.105704993126,0.0,5079.482372995699,5078.771477841656,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:34.909868,4917.715963994851,0.0,4904.178634998971,4903.615177201573,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:40.264917,5232.913507003104,0.0,5217.63378099422,5216.800365044037,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:45.258214,4871.507888004999,0.0,4857.316713998443,4856.806616007816,11762,0.19024066627025604,15,315,3682665,22365,34540
2025-06-03T13:54:50.507081,5123.314693992143,0.0,5107.017283997266,5106.1626970767975,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:54:55.746124,5116.042452995316,0.0,5101.73771699192,5100.7551650109235,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:00.723631,4853.992680000374,0.0,4839.5378880086355,4839.049020083621,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:06.004615,5160.65011700266,0.0,5146.045886009233,5145.264971026336,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:11.106179,4972.001804999309,0.0,4954.739704000531,4954.04906393378,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:16.294940,5062.545385007979,0.0,5048.466576001374,5047.663087127148,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:21.263324,4844.547889995738,0.0,4829.590499997721,4828.89338300447,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:26.370598,4985.088581001037,0.0,4971.913756002323,4971.128802018939,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:31.595780,5099.039056003676,0.0,5082.743603998097,5081.7645430070115,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:36.659472,4940.815060006571,0.0,4927.211678994354,4926.450649931212,11762,0.19397136569023132,15,315,3682665,22365,34540
2025-06-03T13:55:41.776333,4988.7028119992465,0.0,4972.793039996759,4972.164058854105,11762,0.19454874098300934,15,315,3682665,22365,34540
2025-06-03T13:55:46.875370,4966.798032997758,0.0,4950.854051989154,4950.28306695167,11762,0.19454874098300934,15,315,3682665,22365,34540
2025-06-03T13:55:52.244196,5240.534935001051,0.0,5223.904690006748,5222.889878263231,11762,0.19454874098300934,15,315,3682665,22365,34540
2025-06-03T13:55:57.365768,4992.5551660126075,0.0,4978.006414996344,4977.2926299483515,11762,0.19454874098300934,15,315,3682665,22365,34540
2025-06-03T13:56:02.538090,5037.420387001475,0.0,5022.260658006417,5021.551153899054,11762,0.19454874098300934,15,315,3682665,22365,34540
