timestamp,total_time_ms,visibility_time_ms,gap_time_ms,node_iteration_time_ms,node_count,fps,gaps_processed,angles_processed,nodes_checked,probabilities_assigned
2025-06-03T13:47:09.973217,3974.750463006785,0.0,3954.933554996387,3954.321827055537,11762,14.32664680480957,15,315,3705030,34540
2025-06-03T13:47:14.064709,3962.421298987465,0.0,3948.4966640011407,3947.9783670103643,11762,14.32664680480957,15,315,3705030,34540
2025-06-03T13:47:18.808474,4624.187237990554,0.0,4608.767434008769,4607.621294911951,11762,14.32664680480957,15,315,3705030,34540
2025-06-03T13:47:23.023207,4088.2983159972355,0.0,4075.093909006682,4074.292934019468,11762,14.32664680480957,15,315,3705030,34540
2025-06-03T13:47:27.212652,4067.7242880046833,0.0,4052.886686011334,4052.0912360807415,11762,14.32664680480957,15,315,3705030,34540
2025-06-03T13:47:31.297936,3961.4908220100915,0.0,3948.179743005312,3947.7476527827093,11762,14.32664680480957,15,315,3705030,34540
2025-06-03T13:47:35.857307,4434.092508003232,0.0,4415.966717002448,4414.9483719229465,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:47:40.269597,4278.611975008971,0.0,4262.597274995642,4261.815549965831,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:47:42.916980,5367.486217000987,0.0,5344.722904002992,5343.768698934582,11762,12.626262664794922,15,315,3682665,34540
2025-06-03T13:47:44.701901,4295.577313998365,0.0,4277.965464993031,4277.117153003928,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:47:48.466794,5418.791793999844,0.0,5399.206378002418,5398.160498807556,11762,12.626262664794922,15,315,3682665,34540
2025-06-03T13:47:49.176868,4343.322772998363,0.0,4328.503027994884,4327.592973131686,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:47:53.668445,4360.1695929974085,0.0,4341.016177000711,4340.049721111427,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:47:54.065977,5454.417334010941,0.0,5435.517453006469,5434.518299865886,11762,12.626262664794922,15,315,3682665,34540
2025-06-03T13:47:58.270069,4456.3439799967455,0.0,4441.424762990209,4440.48801108147,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:47:59.642144,5438.519075003569,0.0,5424.963106997893,5424.034455165383,11762,12.626262664794922,15,315,3682665,34540
2025-06-03T13:48:02.683805,4283.739652004442,0.0,4266.153771008248,4265.255973834428,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:48:05.087828,5311.424890998751,0.0,5293.43575501116,5292.459527860046,11762,12.626262664794922,15,315,3679830,34626
2025-06-03T13:48:07.123542,4304.449952003779,0.0,4289.531809990876,4288.687582069542,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:48:10.665366,5441.234555997653,0.0,5425.270163992536,5424.419671864598,11762,0.3563791811466217,15,315,3679830,34626
2025-06-03T13:48:11.644929,4389.877160007018,0.0,4372.427996000624,4371.690710977418,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:48:16.110608,4330.138031000388,0.0,4313.710583999637,4312.981526061776,11762,0.38910505175590515,15,315,3705030,34540
2025-06-03T13:48:16.181519,5377.974558999995,0.0,5359.741749998648,5358.994875932694,11762,0.3563791811466217,15,315,3679830,34626
2025-06-03T13:48:20.448046,4175.374719998217,0.0,4157.255067999358,4156.317398970714,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:24.844133,4267.327410998405,0.0,4253.229609996197,4252.283327907207,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:29.042426,4075.7616850023624,0.0,4060.0530829979107,4059.5542630180717,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:33.334298,4164.8461839940865,0.0,4149.641160009196,4148.904331043013,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:37.372818,3916.939349990571,0.0,3902.230701991357,3901.7629868612858,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:41.933594,4439.10751400108,0.0,4421.869186000549,4420.9603039198555,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:46.503327,4432.590754993726,0.0,4415.52661699825,4414.4662692415295,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:51.180660,4540.560520996223,0.0,4523.848361001001,4522.744035086362,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:55.698170,4377.340611012187,0.0,4359.000839001965,4358.266383846058,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:48:59.131481,5303.804950002814,0.0,5284.386140003335,5283.8620509864995,11762,14.064697265625,15,315,3679830,34626
2025-06-03T13:49:00.141903,4310.144967996166,0.0,4296.091305004666,4295.402593910694,11762,0.22314953804016113,15,315,3705030,34540
2025-06-03T13:49:04.573948,4301.216577005107,0.0,4282.740058013587,4282.216673993389,11762,0.22711272537708282,15,315,3705030,34540
2025-06-03T13:49:04.586874,5323.242790007498,0.0,5305.974830989726,5305.466194025939,11762,14.064697265625,15,315,3679830,34626
2025-06-03T13:49:09.166809,4455.997945013223,0.0,4440.0845269992715,4439.400295130326,11762,0.22711272537708282,15,315,3705030,34540
2025-06-03T13:49:10.254647,5535.056196997175,0.0,5519.964364008047,5519.081288803136,11762,14.064697265625,15,315,3679830,34626
2025-06-03T13:49:13.574637,4272.014800997567,0.0,4253.221406994271,4252.469498955179,11762,0.22711272537708282,15,315,3705030,34540
2025-06-03T13:49:15.731419,5343.293726997217,0.0,5328.925526002422,5328.17808490654,11762,14.064697265625,15,315,3679830,34626
